id, amount, unit, created_at, updated_at, type
1,5.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
2,10.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
3,15.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
4,20.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
5,25.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
6,30.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
7,40.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
8,50.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
9,60.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
10,75.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
11,90.00,5,2023-09-24 11:30:07,2023-09-24 11:30:07,1
12,1.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
13,1.25,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
14,1.50,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
15,1.75,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
16,2.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
17,3.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
18,4.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
19,5.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
20,10.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
21,20.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
22,30.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
23,50.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
24,60.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
25,70.00,6,2023-09-24 11:30:07,2023-09-24 11:30:07,1
26,1000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
27,2000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
28,3000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
29,4000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
30,5000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
31,6000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
32,7000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
33,8000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
34,9000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
35,10000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
36,11000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
37,12000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
38,13000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
39,14000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
40,15000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
41,16000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
42,17000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
43,18000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
44,19000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
45,20000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
46,21000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
47,22000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
48,23000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
49,24000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
50,25000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
51,26000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
52,27000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
53,28000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
54,29000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
55,30000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
56,35000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
57,40000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
58,45000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
59,50000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
60,55000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
61,60000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
62,65000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
63,70000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
64,75000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
65,80000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
66,85000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
67,90000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
68,95000.00,7,2023-10-18 12:26:20,2023-10-18 12:26:20,2
69,1.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
70,1.10,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
71,1.20,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
72,1.30,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
73,1.40,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
74,1.50,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
75,1.60,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
76,1.70,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
77,1.80,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
78,1.90,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
79,2.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
80,2.25,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
81,2.50,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
82,2.75,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
83,3.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
84,3.25,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
85,3.50,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
86,3.75,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
87,4.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
88,4.25,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
89,4.50,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
90,4.75,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
91,5.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
92,6.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
93,7.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
94,8.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
95,9.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
96,10.00,5,2023-10-18 12:26:20,2023-10-18 12:26:20,2
